Country	Operator	Network	CC	MCC	MNC	OperatorId	Command	
Belgium	Mobistar	Mobistar	32	206	10	76	Edit	
Belgium	Telenet Belgium	Telenet Belgium	32	206	05	1533	Edit	
Belgium	Telenet Belgium	Telenet Belgium	32	206	99	1533	Edit	
Belgium	Unallocated prefix	Unallocated prefix	32	n/a	n/a	77	Edit	
Belize	Belize Telecom	Belize Telecom	501	702	67	78	Edit	
Belize	Unallocated prefix	Unallocated prefix	501	n/a	n/a	79	Edit	
Benin	BBCom	BBCom	229	616	04	80	Edit	
Benin	Etisalat Benin	Etisalat Benin	229	616	02	83	Edit	
Benin	Etisalat Benin	Etisalat Benin	229	616	05	83	Edit	
Benin	Glomobile Benin	GloBenin	229	n/a	n/a	1110	Edit	
Benin	OPT Benin	Libercom	229	616	01	81	Edit	
Benin	Spacetel Benin	MTN Benin	229	616	03	82	Edit	
Benin	Unallocated prefix	Unallocated prefix	229	n/a	n/a	84	Edit	
Bermuda	Bermuda Digital Communications	CellularOne Bermuda	1441	350	00	85	Edit	
Bermuda	Bermuda Digital Communications	CellularOne Bermuda	1441	350	59	85	Edit	
Bermuda	M3 Wireless	Mobility	1441	350	02	86	Edit	
Bermuda	Telecommunications Bermuda	Digicel Bermuda	1441	350	01	87	Edit	
Bermuda	Telecommunications Bermuda	Digicel Bermuda	1441	350	050	87	Edit	
Bermuda	Unallocated prefix	Unallocated prefix	1441	n/a	n/a	88	Edit	
Bhutan	B-Mobile Bhutan	B-Mobile Bhutan	975	402	11	89	Edit	
Bhutan	B-Mobile Bhutan	B-Mobile Bhutan	975	402	17	89	Edit	
Bhutan	Tashi InfoComm Limited	TashiCell	975	402	77	1220	Edit	
Bhutan	Unallocated prefix	Unallocated prefix	975	n/a	n/a	90	Edit	
Bolivia	Cotas	Cotas Bolivia	591	736	04	1639	Edit	
Bolivia	Entel Bolivia	Entel Bolivia	591	736	02	91	Edit	
Bolivia	Nuevatel	Viva Bolivia	591	736	01	92	Edit	
Bolivia	Telefonica Bolivia	Tigo Bolivia	591	736	03	93	Edit	
Bolivia	Unallocated prefix	Unallocated prefix	591	n/a	n/a	94	Edit	
Bosnia & Herzegovina	BH Telecom	GSMBIH	387	218	90	95	Edit	
Bosnia & Herzegovina	Public Enterprise Croatian Telecom	Eronet	387	218	03	96	Edit	
Bosnia & Herzegovina	RS Telecommunications JSC Banja Luka	mtel	387	218	05	97	Edit	
Bosnia & Herzegovina	Unallocated prefix	Unallocated prefix	387	n/a	n/a	98	Edit	
Botswana	BTC Mobile	BTC Botswana	267	652	04	1138	Edit	
Botswana	Mascom	Mascom	267	652	01	99	Edit	
Botswana	Orange Botswana	Orange Botswana	267	652	02	100	Edit	
Botswana	Unallocated prefix	Unallocated prefix	267	n/a	n/a	101	Edit	
Brazil	CTBC Cellular	CTBC Cellular	55	724	07	105	Edit	
Brazil	CTBC Cellular	CTBC Cellular	55	724	32	105	Edit	
Brazil	CTBC Cellular	CTBC Cellular	55	724	33	105	Edit	
Brazil	CTBC Cellular	CTBC Cellular	55	724	34	105	Edit	
Brazil	Claro Brazil	Claro Brazil	55	724	05	104	Edit	
Brazil	Nextel Brazil	Nextel Brazil	55	724	00	106	Edit	
Brazil	Nextel Brazil	Nextel Brazil	55	724	39	106	Edit	
Brazil	Sercomtel	Sercomtel	55	724	15	107	Edit	
Brazil	Sercomtel	Sercomtel	55	724	55	107	Edit	
Brazil	TIM Brazil	TIM Brazil	55	724	02	110	Edit	
Brazil	TIM Brazil	TIM Brazil	55	724	03	110	Edit	
Brazil	TIM Brazil	TIM Brazil	55	724	04	110	Edit	
Brazil	TIM Brazil	TIM Brazil	55	724	54	110	Edit	
Brazil	TNL PCS	Oi	55	724	16	112	Edit	
Brazil	TNL PCS	Oi	55	724	24	112	Edit	
Brazil	TNL PCS	Oi	55	724	31	112	Edit	
Brazil	Unallocated prefix	Unallocated prefix	55	n/a	n/a	113	Edit	
Brazil	Vivo	Vivo	55	724	06	114	Edit	
Brazil	Vivo	Vivo	55	724	10	114	Edit	
Brazil	Vivo	Vivo	55	724	11	114	Edit	
Brazil	Vivo	Vivo	55	724	19	114	Edit	
Brazil	Vivo	Vivo	55	724	23	114	Edit	
Brunei Darussalam	B-Mobile Brunei	B-Mobile Brunei	673	528	02	115	Edit	
Brunei Darussalam	DST Communications	DST Communications	673	528	01	116	Edit	
Brunei Darussalam	DST Communications	DST Communications	673	528	11	116	Edit	
Brunei Darussalam	Unallocated prefix	Unallocated prefix	673	n/a	n/a	117	Edit	
Bulgaria	MobilTel Bulgaria	M-Tel	359	284	01	120	Edit	
Bulgaria	Telenor	Globul	359	284	05	119	Edit	
Bulgaria	Unallocated prefix	Unallocated prefix	359	n/a	n/a	121	Edit	
Bulgaria	Vivacom	BTC Mobile	359	284	03	118	Edit	
Bulgaria	Vivacom	BTC Mobile	359	284	06	118	Edit	
Burkina Faso	Airtel Burkina Faso	Airtel Burkina Faso	226	613	02	122	Edit	
Burkina Faso	Onatel Burkina Faso	Telmob Burkina Faso	226	613	01	123	Edit	
Burkina Faso	Telecel Burkina Faso	Telecel Burkina Faso	226	613	03	124	Edit	
Burkina Faso	Unallocated prefix	Unallocated prefix	226	n/a	n/a	125	Edit	
Burundi	Africell Burundi	Safaris	257	642	02	126	Edit	
Burundi	LACELL SU	Smart Mobile	257	642	07	1106	Edit	
Burundi	Lumitel Burundi	Lumitel Burundi	257	642	08	1609	Edit	
Burundi	Onatel Burundi	Onatel Burundi	257	642	03	127	Edit	
Burundi	Spacetel	Econet Wireless Burundi	257	642	01	1537	Edit	
Burundi	U-COM Burundi	U-COM Burundi	257	642	82	128	Edit	
Burundi	Unallocated prefix	Unallocated prefix	257	n/a	n/a	129	Edit	
Cambodia	Applifone	StarCell	855	n/a	n/a	130	Edit	
Cambodia	CamGSM	Mobitel Cambodia	855	456	01	132	Edit	
Cambodia	CamGSM	Mobitel Cambodia	855	456	18	132	Edit	
Cambodia	Cambodia Advance Communications	CADCOMMS	855	456	04	131	Edit	
Cambodia	Excell	Excell CDMA	855	456	11	1124	Edit	
Cambodia	Latelz	Smart Mobile	855	456	02	1069	Edit	
Cambodia	Latelz	Smart Mobile	855	456	05	1069	Edit	
Cambodia	Latelz	Smart Mobile	855	456	06	1069	Edit	
Cambodia	S Telecom	S Telecom Cambodia	855	456	03	1123	Edit	
Cambodia	Sotelco	Beeline Cambodia	855	456	09	1090	Edit	
Cambodia	Unallocated prefix	Unallocated prefix	855	n/a	n/a	135	Edit	
Cambodia	Viettel Cambodia	Metfone	855	456	08	1118	Edit	
Cameroon	Camtel	Camtel	237	624	09	1488	Edit	
Cameroon	MTN Cameroon	MTN Cameroon	237	624	01	136	Edit	
Cameroon	Nexttel Cameroon	Nexttel Cameroon	237	624	04	1607	Edit	
Cameroon	Orange Cameroon	Orange Cameroon	237	624	02	137	Edit	
Cameroon	Unallocated prefix	Unallocated prefix	237	n/a	n/a	138	Edit	
Canada	Aliant Telecom	Aliant Telecom	1	302	590	1383	Edit	
Canada	Bell Mobility	Bell Canada	1	302	640	1101	Edit	
Canada	Dryden Mobility	Dryden Mobility	1	302	380	1402	Edit	
Canada	EastLink	Bragg Communications	1	302	270	1534	Edit	
Canada	Fibernetics Corporation	Fibernetics	1	302	023	1634	Edit	
Canada	Fixed line CA	Fixed line CA	1	302	994	1605	Edit	
Canada	Globalive Communications	WIND Mobile	1	302	490	1410	Edit	
Canada	Globalstar Canada	Globalstar Canada	1	302	710	1405	Edit	
Canada	Lynx	Lynx	1	302	560	1668	Edit	
Canada	MTS Mobility	MTS Mobility	1	302	655	1376	Edit	
Canada	MTS Mobility	MTS Mobility	1	302	660	1376	Edit	
Canada	Microcell	Fido	1	302	370	1102	Edit	
Canada	Mobilicity	Mobilicity	1	302	320	1650	Edit	
Canada	Moblicity Wireless	Moblicity Wireless	1	302	999	1669	Edit	
Canada	Rogers Wireless	Rogers Wireless	1	302	720	1103	Edit	
Canada	Sasktel Canada	Sasktel Canada	1	302	780	1136	Edit	
Canada	TBayTel Wireless	TBayTel Wireless	1	302	656	1404	Edit	
Canada	Telecom Videotron	Telecom Videotron	1	302	500	1403	Edit	
Canada	Telus Canada	Telus Canada	1	302	360	1137	Edit	
Canada	Telus Canada	Telus Canada	1	302	653	1137	Edit	
Canada	Telus Canada	Telus Canada	1	302	657	1137	Edit	
Canada	Unallocated prefix	Unallocated prefix	1	n/a	n/a	139	Edit	
Canada	Virgin Mobile Canada	Bell Mobility	1	302	610	1561	Edit	
Cape Verde	CV Movel	CV Movel	238	625	01	140	Edit	
Cape Verde	T+ Telecomunicacoes	T+ Telecomunicacoes	238	625	02	1202	Edit	
Cape Verde	Unallocated prefix	Unallocated prefix	238	n/a	n/a	141	Edit	
Cayman Islands	C&W Cayman Islands	C&W Cayman Islands	1345	346	140	142	Edit	
Cayman Islands	Digicel Cayman Islands	Digicel Cayman Islands	1345	346	50	143	Edit	
Cayman Islands	Unallocated prefix	Unallocated prefix	1345	n/a	n/a	144	Edit	
Cayman Islands	Wireless Ventures Cayman Islands	Wireless Ventures Cayman Islands	1345	346	998	145	Edit	
Central African Republic	Atlantique Telecom Centrafrique	MOOV Centrafrique	236	623	01	146	Edit	
Central African Republic	Nationlink Central African Republic	Nationlink Central African Republic	236	623	04	147	Edit	
Central African Republic	Orange Centrafrique	Orange Centrafrique	236	623	03	148	Edit	
Central African Republic	Telecel Centrafrique	Telecel Centrafrique	236	623	02	149	Edit	
Central African Republic	Unallocated prefix	Unallocated prefix	236	n/a	n/a	150	Edit	
Chad	Airtel Chad	Airtel Chad	235	622	01	151	Edit	
Chad	Millicom Chad	Millicom Chad	235	622	03	152	Edit	
Chad	Sotel Chad	Salam	235	622	04	1443	Edit	
Chad	Unallocated prefix	Unallocated prefix	235	n/a	n/a	153	Edit	
Chile	Claro Chile	Claro Chile	56	730	03	154	Edit	
Chile	Entel PCS Chile	Entel PCS Chile	56	730	01	155	Edit	
Chile	Entel PCS Chile	Entel PCS Chile	56	730	19	155	Edit	
Chile	Entel Telefonia Chile	Entel Telefonia Chile	56	730	10	156	Edit	
Chile	Nextel Chile	Nextel Chile	56	730	04	1430	Edit	
Chile	Nextel Chile	Nextel Chile	56	730	09	1430	Edit	
Chile	Telefonica Chile	Telefonica Chile	56	730	02	157	Edit	
Chile	Telefonica Chile	Telefonica Chile	56	730	07	157	Edit	
Chile	Telefonica Chile	Telefonica Chile	56	730	08	157	Edit	
Chile	Telefonica Chile	Telefonica Chile	56	730	13	157	Edit	
Chile	Telefonica Chile	Telefonica Chile	56	730	14	157	Edit	
Chile	Unallocated prefix	Unallocated prefix	56	n/a	n/a	158	Edit	
China	China Mobile	China Mobile	86	460	00	159	Edit	
China	China Mobile	China Mobile	86	460	02	159	Edit	
China	China Mobile	China Mobile	86	460	07	159	Edit	
China	China Telecom	China Telecom	86	460	03	161	Edit	
China	China Telecom	China Telecom	86	460	05	161	Edit	
China	China Unicom	China Unicom	86	460	01	162	Edit	
China	China Unicom	China Unicom	86	460	06	162	Edit	
China	Unallocated prefix	Unallocated prefix	86	n/a	n/a	164	Edit	
Colombia	Avantel S.A.	Avantel	57	732	130	1374	Edit	
Colombia	Colombia Movil	Tigo Colombia	57	732	103	165	Edit	
Colombia	Colombia Movil	Tigo Colombia	57	732	111	165	Edit	
Colombia	Comcel Colombia	Comcel Colombia	57	732	101	166	Edit	
Colombia	Telefonica Colombia	Telefonica Colombia	57	732	001	167	Edit	
Colombia	Telefonica Colombia	Telefonica Colombia	57	732	102	167	Edit	
Colombia	Telefonica Colombia	Telefonica Colombia	57	732	123	167	Edit	
Colombia	Telefonica Colombia	Telefonica Colombia	57	732	154	167	Edit	
Colombia	Unallocated prefix	Unallocated prefix	57	n/a	n/a	168	Edit	
Comoros	Comores Telecom	HURI	269	654	01	169	Edit	
Comoros	Unallocated prefix	Unallocated prefix	269	n/a	n/a	170	Edit	
Congo D.R.	Africell DRC	Africell DRC	243	630	90	1456	Edit	
Congo D.R.	Airtel Congo DR	Airtel Congo DR	243	630	02	175	Edit	
Congo D.R.	Millicom DRC	Tigo DRC	243	630	89	176	Edit	
Congo D.R.	Orange DRC	Orange DRC	243	630	86	1444	Edit	
Congo D.R.	Supercell	Supercell	243	630	05	177	Edit	
Congo D.R.	Unallocated prefix	Unallocated prefix	243	n/a	n/a	178	Edit	
Congo D.R.	Vodacom Congo DR	Vodacom Congo DR	243	630	01	179	Edit	
Congo	Airtel Congo	Airtel Congo	242	629	01	171	Edit	
Congo	Equateur Telecom	Azur Congo	242	629	02	1424	Edit	
Congo	MTN Congo	Libertis Congo	242	629	10	172	Edit	
Congo	Unallocated prefix	Unallocated prefix	242	n/a	n/a	173	Edit	
Congo	Warid Congo	Warid Congo	242	629	07	174	Edit	
Cook Islands	Telecom Cook Islands	Telecom Cook Islands	682	548	01	180	Edit	
Cook Islands	Unallocated prefix	Unallocated prefix	682	n/a	n/a	181	Edit	
Costa Rica	Claro Telecomunicaciones	Claro Costa Rica	506	712	03	1247	Edit	
Costa Rica	I.C.E.	I.C.E.	506	712	01	182	Edit	
Costa Rica	I.C.E.	I.C.E.	506	712	02	182	Edit	
Costa Rica	Telefonica Moviles	Movistar Costa Rica	506	712	04	1246	Edit	
Costa Rica	Unallocated prefix	Unallocated prefix	506	n/a	n/a	183	Edit	
Cote dIvoire	Atlantique Cellulaire Cote dIvoire	MOOV Cote dIvoire	225	612	02	184	Edit	
Cote dIvoire	Comium Cote dIvoire	KoZ	225	612	04	185	Edit	
Cote dIvoire	MTN Cote dIvoire	MTN Cote dIvoire	225	612	05	186	Edit	
Cote dIvoire	Orange Cote dIvoire	Orange Cote dIvoire	225	612	03	187	Edit	
Cote dIvoire	Oricel	Oricel	225	612	06	1067	Edit	
Cote dIvoire	Unallocated prefix	Unallocated prefix	225	n/a	n/a	188	Edit	
Croatia	T-Mobile Croatia	T-Mobile Croatia	385	219	01	190	Edit	
Croatia	Tele2 Croatia	Tele2 Croatia	385	219	02	189	Edit	
Croatia	Unallocated prefix	Unallocated prefix	385	n/a	n/a	191	Edit	
Croatia	VIPnet	VIPnet	385	219	10	192	Edit	
Cuba	ETECSA	Cubacel	53	368	01	193	Edit	
Cuba	Movitel	Movitel	53	368	998	1064	Edit	
Cuba	Unallocated prefix	Unallocated prefix	53	n/a	n/a	194	Edit	
Cyprus	Areeba Cyprus	MTN Cyprus	357	280	10	195	Edit	
Cyprus	CYTA	Cytamobile-Vodafone	357	280	01	196	Edit	
Cyprus	CYTA	Cytamobile-Vodafone	357	280	20	196	Edit	
Cyprus	CYTA	Cytamobile-Vodafone	357	280	22	196	Edit	
Cyprus	Unallocated prefix	Unallocated prefix	357	n/a	n/a	197	Edit	
Czech Republic	T-Mobile Czech Republic	T-Mobile Czech Republic	420	230	01	199	Edit	
Czech Republic	Telefonica O2 Czech Republic	Eurotel Praha	420	230	02	198	Edit	
Czech Republic	Ufon	Ufon Czech Republic	420	230	04	1384	Edit	
Czech Republic	Unallocated prefix	Unallocated prefix	420	n/a	n/a	200	Edit	
Czech Republic	Vodafone Czech Republic	Oskar	420	230	03	201	Edit	
Denmark	3 Denmark	3 Denmark	45	238	06	202	Edit	
Denmark	Lycamobile Denmark	Lycamobile Denmark	45	238	12	1216	Edit	
Denmark	TDC Denmark	TDC Denmark	45	238	01	205	Edit	
Denmark	TDC Denmark	TDC Denmark	45	238	10	205	Edit	
Denmark	TDC Denmark	TDC Denmark	45	238	28	205	Edit	
Denmark	Telenor Denmark	Telenor Denmark	45	238	02	204	Edit	
Denmark	Telenor Denmark	Telenor Denmark	45	238	13	204	Edit	
Denmark	Telenor Denmark	Telenor Denmark	45	238	42	204	Edit	
Denmark	Telenor Denmark	Telenor Denmark	45	238	77	204	Edit	
Denmark	Telia Mobile Denmark	Telia Mobile Denmark	45	238	07	207	Edit	
Denmark	Telia Mobile Denmark	Telia Mobile Denmark	45	238	20	207	Edit	
Denmark	Telia Mobile Denmark	Telia Mobile Denmark	45	238	30	207	Edit	
Denmark	Unallocated prefix	Unallocated prefix	45	n/a	n/a	209	Edit	
Diego Garcia	C&W Diego Garcia	FonePlus Cellular	246	995	01	1434	Edit	
Diego Garcia	Unallocated prefix	Unallocated prefix	246	n/a	n/a	1022	Edit	
Djibouti	Djibouti Telecom	Evatis	253	638	01	210	Edit	
Djibouti	Unallocated prefix	Unallocated prefix	253	n/a	n/a	211	Edit	
Dominica	C&W Dominica	C&W Dominica	1767	366	110	212	Edit	
Dominica	Orange Dominica	Orange Dominica	1767	366	998	1013	Edit	
Dominica	Unallocated prefix	Unallocated prefix	1767	n/a	n/a	213	Edit	
Dominica	Wireless Ventures Dominica	Digicel Dominica	1767	366	20	214	Edit	
Dominican Republic	Altice Caribbean	Tricom SA	1849	370	03	1481	Edit	
Dominican Republic	Compania Dominicana de Telefonos	Claro Dominican Republic	1849	370	02	215	Edit	
Dominican Republic	Orange Dominicana	Orange Dominicana	1829	370	01	216	Edit	
Dominican Republic	Triology Dominicana	Viva Dominican Republic	1849	370	04	217	Edit	
Dominican Republic	Unallocated prefix	Unallocated prefix	1829	n/a	n/a	218	Edit	
Ecuador	Conecel	Claro Ecuador	593	740	01	219	Edit	
Ecuador	Otecel	Telefonica Ecuador	593	740	00	220	Edit	
Ecuador	Telecsa	CNT Ecuador	593	740	02	221	Edit	
Ecuador	Unallocated prefix	Unallocated prefix	593	n/a	n/a	222	Edit	
Egypt	Etisalat Egypt	Etisalat Egypt	20	602	03	223	Edit	
Egypt	Mobinil	Mobinil	20	602	01	224	Edit	
Egypt	Telecom Egypt	Telecom Egypt	20	602	04	1623	Edit	
Egypt	Unallocated prefix	Unallocated prefix	20	n/a	n/a	225	Edit	
Egypt	Vodafone Egypt	Vodafone Egypt	20	602	02	226	Edit	
El Salvador	CTE Telecom Personal	Claro El Salvador	503	706	01	227	Edit	
El Salvador	CTE Telecom Personal	Claro El Salvador	503	706	11	227	Edit	
El Salvador	Digicel El Salvador	Digicel El Salvador	503	706	02	228	Edit	
El Salvador	Intelfon	RED	503	706	05	1073	Edit	
El Salvador	Telefonica El Salvador	Movistar El Salvador	503	706	04	1014	Edit	
El Salvador	Telemovil El Salvador	Tigo El Salvador	503	706	03	1015	Edit	
El Salvador	Unallocated prefix	Unallocated prefix	503	n/a	n/a	229	Edit	
Equatorial Guinea	GETESA	Orange GQ	240	627	01	230	Edit	
Equatorial Guinea	HiTs Equatorial Guinea	HiTs Equatorial Guinea	240	627	03	1425	Edit	
Equatorial Guinea	Unallocated prefix	Unallocated prefix	240	n/a	n/a	231	Edit	
Eritrea	Eritel	Eritel	291	657	01	232	Edit	
Eritrea	Unallocated prefix	Unallocated prefix	291	n/a	n/a	233	Edit	
Estonia	EMT	EMT	372	248	01	235	Edit	
Estonia	Elisa Estonia	Elisa Estonia	372	248	02	234	Edit	
Estonia	Tele2 Estonia	Tele2 Estonia	372	248	03	236	Edit	
Estonia	Unallocated prefix	Unallocated prefix	372	n/a	n/a	237	Edit	
Ethiopia	ETMTN	ETMTN	251	636	01	238	Edit	
Ethiopia	Unallocated prefix	Unallocated prefix	251	n/a	n/a	239	Edit	
Falkland Islands	C&W Falkland Islands	Touch	500	750	01	240	Edit	
Falkland Islands	Unallocated prefix	Unallocated prefix	500	n/a	n/a	241	Edit	
